,source,target
622,3498,3555
623,3498,3552
624,3556,3552
625,3558,3552
626,2063,2028
627,3511,2642
628,3562,3552
629,3563,3562
630,3563,3552
631,3556,3563
632,3556,3564
633,3564,3552
634,3556,3565
635,3565,3552
636,3556,3566
637,3566,3552
638,3565,3567
639,3567,3552
640,3565,3569
641,3569,3552
642,3570,3552
643,3366,1
644,2158,135
645,3591,2642
646,1810,2942
647,2961,25
648,3615,35
649,3615,2897
650,3545,160
651,2173,2028
652,3665,896
653,3678,3451
654,3695,3669
655,1565,1318
656,2625,3223
657,6,856
658,6,2188
659,3723,3689
660,3646,2125
661,3732,3731
662,2962,3744
663,2644,1764
664,3744,2962
665,3744,23
666,2144,1764
667,3366,1948
668,3744,1670
669,3744,1743
670,3744,29
671,3744,1967
672,3744,2125
673,3744,535
674,3744,2173
675,3744,493
676,3744,2438
677,3744,3736
678,3744,3394
679,3744,2017
680,3744,3756
681,3757,2017
682,3757,3756
683,3756,3744
684,3756,2017
685,3756,3757
686,3756,2962
687,3757,2962
688,3744,3757
689,3744,3759
690,3759,2962
691,3759,3744
692,3759,3756
693,3759,3757
694,3759,2017
695,3744,3760
696,3760,2962
697,3760,2017
698,3760,3756
699,3760,3757
700,3760,3759
701,3760,3744
702,3366,2296
703,2019,1810
704,2262,3734
705,3744,2934
706,3756,2934
707,3757,2934
708,3759,2934
709,3760,2934
710,3785,1810
711,3785,1802
712,2470,1217
713,1743,3219
714,3223,2625
715,3547,3699
716,3800,2484
717,2770,3377
718,1386,3859
719,1933,2903
720,3776,3018
721,3861,2903
722,3861,1933
723,2903,3861
724,2903,1933
725,3511,3820
726,1967,3876
727,3500,3878
728,3500,3888
729,3888,3500
730,3896,2262
731,3928,3735
732,3973,3669
733,3881,3735
734,2495,3974
735,3974,2495
736,585,3975
737,3987,3598
738,361,3996
739,3996,361
740,3660,3996
741,3571,3748
742,3917,4007
743,3397,1363
744,3972,2079
745,3500,3781
746,3828,2642
747,4029,2642
748,4030,3168
749,3500,4035
750,3500,3655
751,4015,3990
752,4047,3735
753,4047,2642
754,4052,3735
755,4054,3735
756,4059,3735
757,3414,3738
758,3211,4080
759,113,25
760,3547,3445
761,2897,3488
762,3488,2897
763,4112,3018
764,4121,3735
765,2388,1363
766,4136,3724
767,4136,4036
768,1201,4144
769,4144,1201
770,4141,2647
771,4150,2188
772,4164,2284
773,4168,3735
774,905,1316
775,3642,1810
776,2296,1810
777,2625,3219
778,3219,2625
779,2763,2127
780,2897,2110
781,3539,4075
782,4163,1689
783,1316,1396
784,2344,2266
785,4205,3982
786,4181,4198
787,4198,4181
788,3056,2642
789,4212,3735
790,4219,3735
791,2512,13
792,4038,3642
793,4226,3642
794,1719,905
795,1719,2198
796,4237,4217
797,1201,4238
798,4240,3642
799,4245,3813
800,4098,3898
801,4163,3545
802,4163,395
803,2167,4257
804,1217,39
805,3527,4261
806,4261,3527
807,4257,2167
808,3982,4205
809,905,304
810,4098,3723
811,3723,4098
812,2942,2125
813,3214,2165
814,3018,2635
815,4136,3735
816,3816,2404
817,4238,2167
818,4163,2142
819,4163,230
820,1018,3219
821,3887,2642
822,3214,3219
823,3219,3214
824,3397,1098
825,4238,4348
826,3489,35
827,3490,4354
828,4238,4356
829,4354,3490
830,3699,4235
831,4172,2125
832,4367,2777
833,4369,1947
834,905,1529
835,2063,2642
836,4354,4393
837,4395,4396
838,4396,4395
839,280,3815
840,3490,4393
841,3815,280
842,1810,1765
843,2167,4172
844,4107,2635
845,342,25
846,4322,3129
847,4421,2296
848,3161,135
849,4353,546
850,4304,135
851,3445,2127
852,3704,2942
853,4499,4400
854,2296,4119
855,2388,3025
856,2942,4515
857,2642,4172
858,3744,3408
859,4531,4522
860,4531,4197
861,4531,3837
862,3018,2647
863,2647,3018
864,4549,3642
865,363,1018
866,3487,2661
867,1403,4546
868,4217,3976
869,3756,1318
870,1334,2822
871,4590,3719
872,4590,3744
873,4590,2498
874,4590,1771
875,4594,3642
876,3237,4197
877,4515,2942
878,4631,2942
879,363,4639
880,4639,363
881,4609,3837
882,4531,4654
883,4664,4646
884,4664,4662
885,4664,4663
886,4654,4661
887,4531,4661
888,4531,4666
889,4546,481
890,4591,481
891,4654,4667
892,3642,481
893,4654,4668
894,4668,4669
895,4107,2045
896,4107,4172
897,4172,4107
898,4579,4604
899,4291,3649
900,4668,4707
901,4661,4707
902,3465,1810
903,2313,2377
904,2313,2347
905,2313,988
906,4681,4733
907,4680,4733
908,4661,4733
909,4729,4569
910,4729,1334
911,4458,4735
912,4659,1334
913,4458,4635
914,4573,25
915,4291,4172
916,3504,35
917,4521,4482
918,4107,3527
919,3527,4107
920,3649,4291
921,905,4172
922,4308,3129
923,4791,3957
924,2165,25
925,4698,4635
926,4806,4611
927,1334,4659
928,4400,4172
929,500,4823
930,500,4824
931,4824,500
932,4824,4823
933,4824,1191
934,4524,2642
935,4694,1334
936,4499,4635
937,4301,4855
938,4615,3404
939,3837,25
940,1555,4172
941,4172,1555
942,905,3719
943,2647,4172
944,2313,2305
945,2305,2313
946,4900,4899
947,3875,4197
948,4918,1018
949,353,4172
950,4415,4559
951,4828,4559
952,3161,1018
953,1334,3719
954,4281,4172
955,4266,2635
956,4172,2642
957,1201,57
958,3389,2642
959,2642,3389
960,1334,1832
961,4291,2498
962,905,3897
963,3746,25
964,2642,3630
965,5015,4988
966,3630,2642
967,4,5014
968,5014,4
969,2388,35
970,3725,4918
971,4612,35
972,4918,3725
973,547,5030
974,5030,547
975,5029,5032
976,5032,5029
977,5027,5028
978,1394,5029
979,4592,25
980,5036,5013
981,3278,1810
982,4172,4291
983,5096,5086
984,1334,361
985,4611,4833
986,5046,5132
987,5132,5046
988,5129,5080
989,3278,57
990,5025,25
991,3429,3649
992,3598,57
993,4291,5162
994,3504,3837
995,3504,5163
996,5163,3504
997,5193,5200
998,5200,5201
999,5201,5202
1000,5202,5203
1001,5193,5204
1002,5212,4172
1003,5234,3452
1004,5235,5237
1005,5237,5239
1006,5239,5237
1007,5239,5240
1008,4304,4172
1009,2934,4172
1010,3837,3897
1011,4833,4694
1012,4320,4884
1013,3714,5284
1014,5284,3714
1015,988,2377
1016,3099,5297
1017,3719,5299
1018,3219,1018
1019,1719,1656
1020,4833,4611
1021,5221,1185
1022,4365,192
1023,3572,1690
1024,5399,3707
1025,1953,5404
1026,3897,905
1027,5420,5415
1028,5422,215
1029,1396,1
1030,5212,3630
1031,3630,5212
1032,4753,5438
1033,5438,4753
1034,4812,5384
1035,5441,5384
1036,5442,4291
1037,5353,4172
1038,1,1615
1039,1615,1
1040,4205,5458
1041,5458,4205
1042,5458,3982
1043,1437,35
1044,3897,4291
1045,4291,3897
1046,4320,5259
1047,5259,4320
1048,3982,5458
1049,5413,5464
1050,5403,4611
1051,5489,5476
1052,5404,1953
1053,1810,3897
1054,2870,5522
1055,5522,2870
1056,5480,3828
1057,4899,5472
1058,5472,4899
1059,5549,5521
1060,4899,5473
1061,4519,5551
1062,3897,3630
1063,5560,3897
1064,5492,5568
1065,5568,5492
1066,1731,1334
1067,5524,1
1068,5524,1953
1069,1018,57
1070,57,1018
1071,4499,4649
1072,5615,4925
1073,5590,5618
1074,5618,5590
1075,5590,5619
1076,5618,5619
1077,5619,5590
1078,5619,5618
1079,5614,256
1080,4515,5622
1081,3470,5623
1082,5609,4649
1083,5598,4291
1084,4649,4499
1085,3470,5602
1086,5636,1
1087,5655,4197
1088,3470,5661
1089,2165,1752
1090,5433,35
1091,5717,35
1092,5655,5720
1093,4921,1
1094,5719,5729
1095,5730,5729
1096,5731,5729
1097,5732,5729
1098,5309,4649
1099,2942,1018
1100,5227,5712
1101,5759,5761
1102,5761,5759
1103,3470,5762
1104,5762,3470
1105,5762,5623
1106,5763,5788
1107,5788,5763
1108,1967,5790
1109,5791,5612
1110,5649,5798
1111,5798,5649
1112,3707,5506
1113,5806,5606
1114,5806,5602
1115,3470,5806
1116,4921,5824
1117,3829,5826
1118,5655,1953
1119,1953,4172
1120,5648,3986
1121,3649,3429
1122,3903,1352
1123,5862,5859
1124,215,5422
1125,4553,4291
1126,5507,5896
1127,5896,5507
1128,5899,5439
1129,5890,35
1130,5411,4649
1131,2,5929
1132,4649,5411
1133,1819,1810
1134,3345,4649
1135,5955,5958
1136,5958,5955
1137,4163,2067
1138,3903,1810
1139,5963,2045
1140,2073,5971
1141,5971,5960
1142,1565,57
1143,3804,2388
1144,4004,5845
1145,5956,5227
1146,5999,3878
1147,2045,33
1148,33,2045
1149,3714,481
