pageRank,target
1.9612184501759463e-07,109
1.2940775815693465e-07,110
2.038255783165533e-05,111
1.2940775815693465e-07,112
1.2940775815693465e-07,113
1.2940775815693465e-07,114
1.2940775815693465e-07,115
1.2940775815693465e-07,116
1.2940775815693465e-07,117
1.2940775815693465e-07,118
7.17929786069032e-07,119
1.2940775815693465e-07,120
1.2940775815693465e-07,121
1.2940775815693465e-07,122
1.2940775815693465e-07,123
1.2940775815693465e-07,124
1.2940775815693465e-07,125
1.2940775815693465e-07,126
5.103980479144861e-07,127
1.2940775815693465e-07,128
1.2940775815693465e-07,129
1.2940775815693465e-07,130
1.2940775815693465e-07,131
1.2940775815693465e-07,132
1.2940775815693465e-07,133
1.627648015872741e-07,134
2.1001262540443885e-06,135
1.2940775815693465e-07,136
1.2940775815693465e-07,137
1.2940775815693465e-07,138
1.2940775815693465e-07,139
1.2940775815693465e-07,140
1.2940775815693465e-07,141
1.2940775815693465e-07,142
3.0105775038213104e-07,143
7.937100583753756e-05,144
1.2940775815693465e-07,145
1.2940775815693465e-07,146
1.2940775815693465e-07,147
1.2940775815693465e-07,148
1.2940775815693465e-07,149
1.2940775815693465e-07,150
1.2940775815693465e-07,151
1.2940775815693465e-07,152
1.2940775815693465e-07,153
1.2940775815693465e-07,154
1.2940775815693465e-07,155
1.2940775815693465e-07,156
1.2940775815693465e-07,157
1.2940775815693465e-07,158
3.962641055995237e-07,159
2.8587803567608977e-07,160
1.2940775815693465e-07,161
1.2940775815693465e-07,162
1.2940775815693465e-07,163
1.2940775815693465e-07,164
1.2940775815693465e-07,165
1.2940775815693465e-07,166
4.286042475626109e-06,167
1.2940775815693465e-07,168
1.2940775815693465e-07,169
1.2940775815693465e-07,170
1.2940775815693465e-07,171
1.2940775815693465e-07,172
1.2940775815693465e-07,173
1.2940775815693465e-07,174
1.2940775815693465e-07,175
1.2940775815693465e-07,176
1.2940775815693465e-07,177
7.214440950894517e-07,178
1.2940775815693465e-07,179
1.2940775815693465e-07,180
1.2940775815693465e-07,181
1.2940775815693465e-07,182
1.2940775815693465e-07,183
2.038255783165621e-05,184
1.2940775815693465e-07,185
1.2940775815693465e-07,186
1.2940775815693465e-07,187
1.2940775815693465e-07,188
1.2940775815693465e-07,189
1.2940775815693465e-07,190
1.2940775815693465e-07,191
2.6283593187824225e-07,192
1.2940775815693465e-07,193
1.2940775815693465e-07,194
1.2940775815693465e-07,195
1.2940775815693465e-07,196
5.1077344918382264e-06,197
4.207334975619932e-07,198
1.2940775815693465e-07,199
2.4220065062123236e-05,200
2.628359318782282e-07,201
9.245618995053199e-05,202
1.2940775815693465e-07,203
1.2940775815693465e-07,204
1.2940775815693465e-07,205
1.2940775815693465e-07,206
1.2940775815693465e-07,207
1.2940775815693465e-07,208
1.2940775815693465e-07,209
1.2940775815693465e-07,210
1.2940775815693465e-07,211
1.2940775815693465e-07,212
1.2940775815693465e-07,213
1.2940775815693465e-07,214
6.464794764589604e-06,215
1.2940775815693465e-07,216
1.2940775815693465e-07,217
1.2940775815693465e-07,218
1.2940775815693465e-07,219
1.2940775815693465e-07,220
1.2940775815693465e-07,221
1.2940775815693465e-07,222
5.375123009715581e-06,223
1.2940775815693465e-07,224
1.2940775815693465e-07,225
1.2940775815693465e-07,226
1.2940775815693465e-07,227
1.2940775815693465e-07,228
1.2940775815693465e-07,229
9.928761191719745e-06,230
1.2940775815693465e-07,231
1.2940775815693465e-07,232
1.2940775815693465e-07,233
1.2940775815693465e-07,234
1.2940775815693465e-07,235
1.2940775815693465e-07,236
1.2940775815693465e-07,237
1.2940775815693465e-07,238
1.2940775815693465e-07,239
1.2940775815693465e-07,240
3.338111370710591e-06,241
2.0382557831660352e-05,242
1.2940775815693465e-07,243
1.2940775815693465e-07,244
8.527303953341593e-06,245
1.2940775815693465e-07,246
1.2940775815693465e-07,247
1.2940775815693465e-07,248
2.8611970727116404e-06,249
1.2940775815693465e-07,250
1.2940775815693465e-07,251
1.2940775815693465e-07,252
1.2940775815693465e-07,253
1.2940775815693465e-07,254
1.2940775815693465e-07,255
2.628359318782461e-07,256
6.964964196471144e-06,257
1.2940775815693465e-07,258
1.2940775815693465e-07,259
1.2940775815693465e-07,260
1.2940775815693465e-07,261
1.2940775815693465e-07,262
1.2940775815693465e-07,263
1.2940775815693465e-07,264
1.2940775815693465e-07,265
1.2940775815693465e-07,266
1.2940775815693465e-07,267
1.2940775815693465e-07,268
1.2940775815693465e-07,269
2.038255783165723e-05,270
1.2940775815693465e-07,271
1.2940775815693465e-07,272
1.2940775815693465e-07,273
1.2940775815693465e-07,274
1.2940775815693465e-07,275
1.2940775815693465e-07,276
1.2940775815693465e-07,277
2.628359318782286e-07,278
1.2940775815693465e-07,279
2.0382557831662473e-05,280
1.2940775815693465e-07,281
1.2940775815693465e-07,282
7.179297860690203e-07,283
5.103980479144793e-07,284
1.2940775815693465e-07,285
1.2940775815693465e-07,286
1.2940775815693465e-07,287
1.2940775815693465e-07,288
1.2940775815693465e-07,289
1.2940775815693465e-07,290
1.2940775815693465e-07,291
1.2940775815693465e-07,292
1.2940775815693465e-07,293
1.2940775815693465e-07,294
1.2940775815693465e-07,295
1.2940775815693465e-07,296
1.2940775815693465e-07,297
1.2940775815693465e-07,298
1.2940775815693465e-07,299
2.038255783165583e-05,300
1.2940775815693465e-07,301
1.2940775815693465e-07,302
1.2940775815693465e-07,303
3.203466640103595e-06,304
1.2940775815693465e-07,305
1.2940775815693465e-07,306
1.2940775815693465e-07,307
1.2940775815693465e-07,308
5.548471509901764e-07,309
1.2940775815693465e-07,310
1.2940775815693465e-07,311
1.2940775815693465e-07,312
1.2940775815693465e-07,313
1.2940775815693465e-07,314
1.2940775815693465e-07,315
1.2940775815693465e-07,316
1.2940775815693465e-07,317
1.2940775815693465e-07,318
1.2940775815693465e-07,319
1.2940775815693465e-07,320
1.2940775815693465e-07,321
1.2940775815693465e-07,322
1.2940775815693465e-07,323
1.2940775815693465e-07,324
1.2940775815693465e-07,325
1.2940775815693465e-07,326
1.2940775815693465e-07,327
1.2940775815693465e-07,328
1.2940775815693465e-07,329
1.2940775815693465e-07,330
1.2940775815693465e-07,331
1.2940775815693465e-07,332
1.2940775815693465e-07,333
1.2940775815693465e-07,334
1.2940775815693465e-07,335
1.2940775815693465e-07,336
1.2940775815693465e-07,337
1.2940775815693465e-07,338
1.2940775815693465e-07,339
1.2940775815693465e-07,340
1.2940775815693465e-07,341
7.757493032699768e-07,342
1.2940775815693465e-07,343
1.2940775815693465e-07,344
1.2940775815693465e-07,345
1.2940775815693465e-07,346
1.2940775815693465e-07,347
1.2940775815693465e-07,348
1.2940775815693465e-07,349
1.2940775815693465e-07,350
1.2940775815693465e-07,351
1.2940775815693465e-07,352
1.2940775815693465e-07,353
1.2940775815693465e-07,354
1.2940775815693465e-07,355
1.2940775815693465e-07,356
1.2940775815693465e-07,357
1.2940775815693465e-07,358
1.2940775815693465e-07,359
1.2940775815693465e-07,360
6.013472791713227e-05,361
1.2940775815693465e-07,362
4.207334975619556e-07,363
1.2940775815693465e-07,364
1.2940775815693465e-07,365
1.2940775815693465e-07,366
1.2940775815693465e-07,367
1.2940775815693465e-07,368
1.2940775815693465e-07,369
1.2940775815693465e-07,370
1.2940775815693465e-07,371
1.2940775815693465e-07,372
1.2940775815693465e-07,373
1.2940775815693465e-07,374
1.2940775815693465e-07,375
1.2940775815693465e-07,376
1.2940775815693465e-07,377
1.2940775815693465e-07,378
1.2940775815693465e-07,379
1.2940775815693465e-07,380
1.2940775815693465e-07,381
1.2940775815693465e-07,382
1.2940775815693465e-07,383
1.2940775815693465e-07,384
1.2940775815693465e-07,385
1.2940775815693465e-07,386
1.2940775815693465e-07,387
1.2940775815693465e-07,388
1.2940775815693465e-07,389
1.2940775815693465e-07,390
1.2940775815693465e-07,391
1.2940775815693465e-07,392
1.2940775815693465e-07,393
1.2940775815693465e-07,394
5.795752939659799e-07,395
1.2940775815693465e-07,396
1.2940775815693465e-07,397
1.2940775815693465e-07,398
1.2940775815693465e-07,399
1.2940775815693465e-07,400
1.2940775815693465e-07,401
1.2940775815693465e-07,402
1.2940775815693465e-07,403
1.2940775815693465e-07,404
1.2940775815693465e-07,405
1.2940775815693465e-07,406
1.2940775815693465e-07,407
1.2940775815693465e-07,408
1.2940775815693465e-07,409
1.2940775815693465e-07,410
1.2940775815693465e-07,411
1.2940775815693465e-07,412
1.2940775815693465e-07,413
1.2940775815693465e-07,414
7.445181553354594e-06,415
1.2940775815693465e-07,416
1.2940775815693465e-07,417
2.0382557831655975e-05,418
1.2940775815693465e-07,419
1.2940775815693465e-07,420
1.2940775815693465e-07,421
1.2940775815693465e-07,422
1.2940775815693465e-07,423
1.2940775815693465e-07,424
2.6064096325908833e-06,425
1.2940775815693465e-07,426
1.2940775815693465e-07,427
1.2940775815693465e-07,428
1.2940775815693465e-07,429
1.2940775815693465e-07,430
1.2940775815693465e-07,431
1.2940775815693465e-07,432
1.2940775815693465e-07,433
1.2940775815693465e-07,434
1.2940775815693465e-07,435
1.2940775815693465e-07,436
1.2940775815693465e-07,437
1.2940775815693465e-07,438
1.2940775815693465e-07,439
1.2940775815693465e-07,440
1.2940775815693465e-07,441
1.2940775815693465e-07,442
1.2940775815693465e-07,443
1.2940775815693465e-07,444
1.2940775815693465e-07,445
1.2940775815693465e-07,446
1.2940775815693465e-07,447
3.0105775038213104e-07,448
1.2940775815693465e-07,449
1.2940775815693465e-07,450
2.0382557831655067e-05,451
1.2940775815693465e-07,452
1.2940775815693465e-07,453
1.2940775815693465e-07,454
1.2940775815693465e-07,455
1.2940775815693465e-07,456
1.2940775815693465e-07,457
1.2940775815693465e-07,458
1.2940775815693465e-07,459
1.2940775815693465e-07,460
1.2940775815693465e-07,461
1.2940775815693465e-07,462
1.2940775815693465e-07,463
1.2940775815693465e-07,464
7.179297860689767e-07,465
1.2940775815693465e-07,466
1.2940775815693465e-07,467
1.2940775815693465e-07,468
1.2940775815693465e-07,469
1.2940775815693465e-07,470
1.2940775815693465e-07,471
1.2940775815693465e-07,472
1.2940775815693465e-07,473
1.2940775815693465e-07,474
1.8476911333125742e-07,475
1.2940775815693465e-07,476
1.2940775815693465e-07,477
1.2940775815693465e-07,478
1.2940775815693465e-07,479
1.2940775815693465e-07,480
1.407409166624206e-06,481
1.2940775815693465e-07,482
1.2940775815693465e-07,483
2.628359318782287e-07,484
1.2940775815693465e-07,485
1.2940775815693465e-07,486
1.2940775815693465e-07,487
1.2940775815693465e-07,488
2.0382557831656056e-05,489
4.585917282300781e-07,490
1.2940775815693465e-07,491
2.769416981682167e-06,492
1.6171046829973813e-07,493
1.2940775815693465e-07,494
1.2940775815693465e-07,495
1.2940775815693465e-07,496
1.2940775815693465e-07,497
1.2940775815693465e-07,498
2.038255783165523e-05,499
1.4134764603879574e-06,500
1.2940775815693465e-07,501
1.2940775815693465e-07,502
1.2940775815693465e-07,503
1.2940775815693465e-07,504
1.2940775815693465e-07,505
1.2940775815693465e-07,506
1.2940775815693465e-07,507
1.2940775815693465e-07,508
1.2940775815693465e-07,509
1.2940775815693465e-07,510
1.2940775815693465e-07,511
1.2940775815693465e-07,512
1.2940775815693465e-07,513
1.2940775815693465e-07,514
1.2940775815693465e-07,515
1.2940775815693465e-07,516
1.2940775815693465e-07,517
2.0382557831658e-05,518
1.2940775815693465e-07,519
1.2940775815693465e-07,520
1.2940775815693465e-07,521
1.2940775815693465e-07,522
2.628359318782298e-07,523
1.2940775815693465e-07,524
1.2940775815693465e-07,525
1.2940775815693465e-07,526
1.2940775815693465e-07,527
1.2940775815693465e-07,528
2.038255783165587e-05,529
1.961218450175939e-07,530
1.2940775815693465e-07,531
1.2940775815693465e-07,532
1.2940775815693465e-07,533
2.759492051145146e-07,534
1.6171046829973813e-07,535
1.2940775815693465e-07,536
1.7782607471354526e-06,537
1.2940775815693465e-07,538
1.2940775815693465e-07,539
3.2054082075273774e-07,540
1.2940775815693465e-07,541
1.2940775815693465e-07,542
1.2940775815693465e-07,543
1.2940775815693465e-07,544
2.628359318782335e-07,545
4.093773788358557e-07,546
2.0382557831665482e-05,547
2.2334644048687735e-07,548
1.2940775815693465e-07,549
1.2940775815693465e-07,550
1.2940775815693465e-07,551
1.2940775815693465e-07,552
1.2940775815693465e-07,553
2.6283593187823076e-07,554
1.2940775815693465e-07,555
1.2940775815693465e-07,556
1.2940775815693465e-07,557
1.2940775815693465e-07,558
1.2940775815693465e-07,559
1.2940775815693465e-07,560
1.2940775815693465e-07,561
1.2940775815693465e-07,562
1.2940775815693465e-07,563
1.2940775815693465e-07,564
1.2940775815693465e-07,565
2.628359318782285e-07,566
1.2940775815693465e-07,567
1.2940775815693465e-07,568
1.2940775815693465e-07,569
2.038255783165635e-05,570
2.038255783165644e-05,571
1.2940775815693465e-07,572
1.2940775815693465e-07,573
1.2940775815693465e-07,574
1.2940775815693465e-07,575
1.2940775815693465e-07,576
1.2940775815693465e-07,577
1.2940775815693465e-07,578
1.2940775815693465e-07,579
1.2940775815693465e-07,580
1.2940775815693465e-07,581
1.2940775815693465e-07,582
1.2940775815693465e-07,583
1.2940775815693465e-07,584
1.2940775815693465e-07,585
1.2940775815693465e-07,586
2.628359318782289e-07,587
1.2940775815693465e-07,588
1.2940775815693465e-07,589
1.2940775815693465e-07,590
1.2940775815693465e-07,591
1.2940775815693465e-07,592
2.6524815641111306e-07,593
1.2940775815693465e-07,594
1.2940775815693465e-07,595
1.2940775815693465e-07,596
1.2940775815693465e-07,597
1.2940775815693465e-07,598
1.2940775815693465e-07,599
1.2940775815693465e-07,600
1.2940775815693465e-07,601
1.2940775815693465e-07,602
1.2940775815693465e-07,603
1.2940775815693465e-07,604
2.628359318782291e-07,605
2.2334644048687713e-07,606
1.2940775815693465e-07,607
1.2940775815693465e-07,608
1.2940775815693465e-07,609
1.9612184501759325e-07,610
1.2940775815693465e-07,611
1.2940775815693465e-07,612
1.2940775815693465e-07,613
1.2940775815693465e-07,614
1.2940775815693465e-07,615
1.2940775815693465e-07,616
1.2940775815693465e-07,617
1.2940775815693465e-07,618
1.2940775815693465e-07,619
1.2940775815693465e-07,620
1.2940775815693465e-07,621
1.2940775815693465e-07,622
3.6798200674764745e-05,623
1.2940775815693465e-07,624
1.2940775815693465e-07,625
1.8476911333125742e-07,626
1.2940775815693465e-07,627
1.2940775815693465e-07,628
1.2940775815693465e-07,629
1.2940775815693465e-07,630
1.2940775815693465e-07,631
1.2940775815693465e-07,632
1.2940775815693465e-07,633
1.2940775815693465e-07,634
3.2955001873892623e-07,635
1.2940775815693465e-07,636
1.2940775815693465e-07,637
1.2940775815693465e-07,638
1.2940775815693465e-07,639
1.2940775815693465e-07,640
1.2940775815693465e-07,641
1.2940775815693465e-07,642
1.2940775815693465e-07,643
1.2940775815693465e-07,644
1.2940775815693465e-07,645
1.2940775815693465e-07,646
1.2940775815693465e-07,647
1.2940775815693465e-07,648
1.2940775815693465e-07,649
2.038255783165664e-05,650
2.0382557831656727e-05,651
1.2940775815693465e-07,652
1.2940775815693465e-07,653
1.2940775815693465e-07,654
1.2940775815693465e-07,655
1.2940775815693465e-07,656
1.2940775815693465e-07,657
1.2940775815693465e-07,658
1.2940775815693465e-07,659
1.2940775815693465e-07,660
1.2940775815693465e-07,661
1.2940775815693465e-07,662
1.2940775815693465e-07,663
1.2940775815693465e-07,664
1.2940775815693465e-07,665
1.2940775815693465e-07,666
1.2940775815693465e-07,667
1.2940775815693465e-07,668
1.2940775815693465e-07,669
1.2940775815693465e-07,670
1.2940775815693465e-07,671
1.2940775815693465e-07,672
1.2940775815693465e-07,673
1.2940775815693465e-07,674
1.2940775815693465e-07,675
1.2940775815693465e-07,676
1.2940775815693465e-07,677
3.679820067476587e-05,678
1.2940775815693465e-07,679
1.2940775815693465e-07,680
1.2940775815693465e-07,681
1.2940775815693465e-07,682
1.2940775815693465e-07,683
1.2940775815693465e-07,684
1.2940775815693465e-07,685
1.2940775815693465e-07,686
1.2940775815693465e-07,687
1.2940775815693465e-07,688
1.2940775815693465e-07,689
1.2940775815693465e-07,690
1.2940775815693465e-07,691
1.2940775815693465e-07,692
1.2940775815693465e-07,693
1.2940775815693465e-07,694
1.2940775815693465e-07,695
1.2940775815693465e-07,696
1.2940775815693465e-07,697
1.2940775815693465e-07,698
1.2940775815693465e-07,699
1.2940775815693465e-07,700
1.2940775815693465e-07,701
1.2940775815693465e-07,702
1.2940775815693465e-07,703
1.2940775815693465e-07,704
1.2940775815693465e-07,705
1.2940775815693465e-07,706
1.2940775815693465e-07,707
3.2815887017840976e-06,708
1.2940775815693465e-07,709
2.0382557831657747e-05,710
1.2940775815693465e-07,711
1.2940775815693465e-07,712
1.2940775815693465e-07,713
1.2940775815693465e-07,714
1.2940775815693465e-07,715
1.2940775815693465e-07,716
2.422006506212399e-05,717
1.2940775815693465e-07,718
1.2940775815693465e-07,719
2.0382557831656114e-05,720
1.2940775815693465e-07,721
2.7594920511452283e-07,722
1.2940775815693465e-07,723
1.2940775815693465e-07,724
1.2940775815693465e-07,725
1.2940775815693465e-07,726
1.2940775815693465e-07,727
1.2940775815693465e-07,728
1.2940775815693465e-07,729
1.2940775815693465e-07,730
1.2940775815693465e-07,731
3.962641055995252e-07,732
2.62835931878231e-07,733
1.2940775815693465e-07,734
1.2940775815693465e-07,735
1.2940775815693465e-07,736
1.2940775815693465e-07,737
1.2940775815693465e-07,738
1.2940775815693465e-07,739
1.2940775815693465e-07,740
1.2940775815693465e-07,741
1.2940775815693465e-07,742
1.2940775815693465e-07,743
1.2940775815693465e-07,744
1.2940775815693465e-07,745
1.2940775815693465e-07,746
1.2940775815693465e-07,747
1.2940775815693465e-07,748
1.2940775815693465e-07,749
1.2940775815693465e-07,750
1.2940775815693465e-07,751
1.2940775815693465e-07,752
1.2940775815693465e-07,753
1.2940775815693465e-07,754
1.2940775815693465e-07,755
1.2940775815693465e-07,756
1.2940775815693465e-07,757
1.2940775815693465e-07,758
1.2940775815693465e-07,759
1.2940775815693465e-07,760
1.2940775815693465e-07,761
1.2940775815693465e-07,762
1.2940775815693465e-07,763
1.2940775815693465e-07,764
1.2940775815693465e-07,765
1.2940775815693465e-07,766
1.2940775815693465e-07,767
2.0382557831658123e-05,768
2.0382557831657147e-05,769
2.4913466721527756e-06,770
1.2940775815693465e-07,771
1.2940775815693465e-07,772
1.2940775815693465e-07,773
1.2940775815693465e-07,774
2.0568460167532905e-06,775
1.2940775815693465e-07,776
2.038255783165767e-05,777
1.2940775815693465e-07,778
1.2940775815693465e-07,779
2.0382557831657394e-05,780
1.2940775815693465e-07,781
1.2940775815693465e-07,782
1.2940775815693465e-07,783
1.2940775815693465e-07,784
1.2940775815693465e-07,785
1.2940775815693465e-07,786
1.2940775815693465e-07,787
1.2940775815693465e-07,788
1.2940775815693465e-07,789
1.2940775815693465e-07,790
1.2940775815693465e-07,791
1.2940775815693465e-07,792
1.2940775815693465e-07,793
1.2940775815693465e-07,794
1.2940775815693465e-07,795
1.2940775815693465e-07,796
1.2940775815693465e-07,797
1.2940775815693465e-07,798
1.2940775815693465e-07,799
1.2940775815693465e-07,800
8.943187324880773e-06,801
1.2940775815693465e-07,802
1.2940775815693465e-07,803
1.2940775815693465e-07,804
1.2940775815693465e-07,805
1.2940775815693465e-07,806
1.2940775815693465e-07,807
1.2940775815693465e-07,808
1.2940775815693465e-07,809
1.2940775815693465e-07,810
1.2940775815693465e-07,811
1.2940775815693465e-07,812
1.2940775815693465e-07,813
2.0382557831657378e-05,814
1.2940775815693465e-07,815
1.2940775815693465e-07,816
1.2940775815693465e-07,817
1.2940775815693465e-07,818
1.2940775815693465e-07,819
1.2940775815693465e-07,820
1.2940775815693465e-07,821
1.2940775815693465e-07,822
4.155725240953996e-06,823
1.2940775815693465e-07,824
1.2940775815693465e-07,825
1.2940775815693465e-07,826
1.2940775815693465e-07,827
1.2940775815693465e-07,828
1.2940775815693465e-07,829
1.2940775815693465e-07,830
1.2940775815693465e-07,831
2.365944147810495e-06,832
1.2940775815693465e-07,833
1.2940775815693465e-07,834
1.2940775815693465e-07,835
1.2940775815693465e-07,836
1.2940775815693465e-07,837
1.2940775815693465e-07,838
1.2940775815693465e-07,839
2.6283593187823007e-07,840
1.2940775815693465e-07,841
1.2940775815693465e-07,842
1.2940775815693465e-07,843
1.2940775815693465e-07,844
1.2940775815693465e-07,845
1.2940775815693465e-07,846
2.0382557831657113e-05,847
1.2940775815693465e-07,848
1.2940775815693465e-07,849
1.2940775815693465e-07,850
1.2940775815693465e-07,851
1.2940775815693465e-07,852
1.2940775815693465e-07,853
1.2940775815693465e-07,854
1.2940775815693465e-07,855
1.6571659340927892e-06,856
1.2940775815693465e-07,857
1.2940775815693465e-07,858
1.2940775815693465e-07,859
1.2940775815693465e-07,860
1.2940775815693465e-07,861
1.2940775815693465e-07,862
1.2940775815693465e-07,863
1.2940775815693465e-07,864
1.2940775815693465e-07,865
1.2940775815693465e-07,866
1.2940775815693465e-07,867
1.2940775815693465e-07,868
1.2940775815693465e-07,869
1.2940775815693465e-07,870
1.2940775815693465e-07,871
1.2940775815693465e-07,872
1.2940775815693465e-07,873
1.2940775815693465e-07,874
1.2940775815693465e-07,875
1.2940775815693465e-07,876
1.2940775815693465e-07,877
1.2940775815693465e-07,878
1.2940775815693465e-07,879
1.2940775815693465e-07,880
1.2940775815693465e-07,881
1.558432903303345e-06,882
1.2940775815693465e-07,883
1.2940775815693465e-07,884
1.2940775815693465e-07,885
1.2940775815693465e-07,886
1.2940775815693465e-07,887
1.2940775815693465e-07,888
1.2940775815693465e-07,889
1.2940775815693465e-07,890
1.2940775815693465e-07,891
1.2940775815693465e-07,892
1.2940775815693465e-07,893
2.2334644048687713e-07,894
1.2940775815693465e-07,895
2.6283593187824023e-07,896
1.2940775815693465e-07,897
1.2940775815693465e-07,898
1.2940775815693465e-07,899
1.2940775815693465e-07,900
1.2940775815693465e-07,901
1.2940775815693465e-07,902
1.2940775815693465e-07,903
1.2940775815693465e-07,904
4.827059156956974e-06,905
1.2940775815693465e-07,906
1.2940775815693465e-07,907
2.1335570033627626e-05,908
1.2940775815693465e-07,909
1.2940775815693465e-07,910
3.615872203124665e-07,911
1.2940775815693465e-07,912
1.2940775815693465e-07,913
1.2940775815693465e-07,914
1.2940775815693465e-07,915
1.2940775815693465e-07,916
1.2940775815693465e-07,917
1.2940775815693465e-07,918
1.2940775815693465e-07,919
1.7015860824111492e-06,920
2.7594920511452193e-07,921
3.615872203124684e-07,922
7.298345399028709e-07,923
1.2940775815693465e-07,924
1.2940775815693465e-07,925
1.2940775815693465e-07,926
1.2940775815693465e-07,927
1.2940775815693465e-07,928
1.2940775815693465e-07,929
1.2940775815693465e-07,930
1.2940775815693465e-07,931
1.2940775815693465e-07,932
1.2940775815693465e-07,933
1.2940775815693465e-07,934
1.2940775815693465e-07,935
1.2940775815693465e-07,936
1.2940775815693465e-07,937
1.2940775815693465e-07,938
1.2940775815693465e-07,939
1.2940775815693465e-07,940
1.2940775815693465e-07,941
1.2940775815693465e-07,942
1.2940775815693465e-07,943
1.2940775815693465e-07,944
1.2940775815693465e-07,945
1.2940775815693465e-07,946
1.2940775815693465e-07,947
1.2940775815693465e-07,948
1.2940775815693465e-07,949
1.2940775815693465e-07,950
1.2940775815693465e-07,951
1.2940775815693465e-07,952
2.2334644048687713e-07,953
1.2940775815693465e-07,954
1.2940775815693465e-07,955
1.2940775815693465e-07,956
1.2940775815693465e-07,957
1.2940775815693465e-07,958
2.759492051145146e-07,959
1.2940775815693465e-07,960
1.2940775815693465e-07,961
1.2940775815693465e-07,962
1.2940775815693465e-07,963
1.2940775815693465e-07,964
1.2940775815693465e-07,965
1.2940775815693465e-07,966
1.2940775815693465e-07,967
1.2940775815693465e-07,968
1.2940775815693465e-07,969
1.2940775815693465e-07,970
1.2940775815693465e-07,971
1.2940775815693465e-07,972
1.2940775815693465e-07,973
1.2940775815693465e-07,974
1.2940775815693465e-07,975
1.2940775815693465e-07,976
1.2940775815693465e-07,977
1.2940775815693465e-07,978
1.2940775815693465e-07,979
1.2940775815693465e-07,980
1.2940775815693465e-07,981
1.2940775815693465e-07,982
1.2940775815693465e-07,983
1.2940775815693465e-07,984
1.2940775815693465e-07,985
1.2940775815693465e-07,986
1.2940775815693465e-07,987
1.6097032994422012e-05,988
1.2940775815693465e-07,989
1.2940775815693465e-07,990
1.2940775815693465e-07,991
1.2940775815693465e-07,992
1.2940775815693465e-07,993
1.2940775815693465e-07,994
1.2940775815693465e-07,995
1.2940775815693465e-07,996
1.3462717553087965e-06,997
1.2940775815693465e-07,998
1.2940775815693465e-07,999
1.2940775815693465e-07,1000
1.2940775815693465e-07,1001
1.2940775815693465e-07,1002
1.2940775815693465e-07,1003
1.2940775815693465e-07,1004
